,video_id,Video title,LINK
0,Total,,
1,pkqlE1-YRMk,OmniSwitch Milestone Plugin - Unique integration of network & VMS,https://www.youtube.com/watch?v=pkqlE1-YRMk
2,Z91IZHiErzM,O que OmniVista Network Advisor a IA pode fazer por sua rede?,https://www.youtube.com/watch?v=Z91IZHiErzM
3,-8Cj-QXn3RI,Revolutionizing Network Infrastructure with Hybrid Passive Optical LAN Technology Customer Webinar,https://www.youtube.com/watch?v=-8Cj-QXn3RI
4,RZ8yR3XD9ZQ,Digital Age Networking Overview,https://www.youtube.com/watch?v=RZ8yR3XD9ZQ
5,ld8SYs5P7S4,Video de descripción general de redes de la era digital - ES,https://www.youtube.com/watch?v=ld8SYs5P7S4
6,9EQq1M92AUQ,Mastering Cybersecurity with Stormshield and OmniVista Solutions,https://www.youtube.com/watch?v=9EQq1M92AUQ
7,cAfykhJYzWo,Bridging the gap for a successful digital transformation,https://www.youtube.com/watch?v=cAfykhJYzWo
8,fs13ZpAlLUY,[IoT Tech Expo 2021]  IoT enabled digital transformation,https://www.youtube.com/watch?v=fs13ZpAlLUY
9,7-XCruaOuqA,ALE Titan SD-WAN Solution,https://www.youtube.com/watch?v=7-XCruaOuqA
10,76BbhN_lYbs,Modern mission critical networks with Ethernet Ring Protection design,https://www.youtube.com/watch?v=76BbhN_lYbs
11,7zPmWOaHRNQ,Wi-Fi 6E: Best thing to happen to consumers since sliced bread,https://www.youtube.com/watch?v=7zPmWOaHRNQ
12,D00xmMgG504,Zero Trust Series: Unified Access to Firewall Role Mapping with OmniVista UPAM,https://www.youtube.com/watch?v=D00xmMgG504
13,OHPxC-BCuZg,Cisco ISE interoperability with ALE solutions,https://www.youtube.com/watch?v=OHPxC-BCuZg
14,WRApJWdKG1Y,OmniVista Release 10 Quality of Experience Sneak Peek,https://www.youtube.com/watch?v=WRApJWdKG1Y
15,XGaKtGAhUss,OmniAccess Stellar Asset Tracking en acción - Demo,https://www.youtube.com/watch?v=XGaKtGAhUss
16,Z8O-r_BZfIQ,Network Solutions for SMB,https://www.youtube.com/watch?v=Z8O-r_BZfIQ
17,aCIq0mcfc8c,Digital Age Networking: ALE Vision,https://www.youtube.com/watch?v=aCIq0mcfc8c
18,aj4fP4GXPt4,Guest accounts creation by voice command,https://www.youtube.com/watch?v=aj4fP4GXPt4
19,hKJqNNJqfaE,OmniAccess Stellar Asset Tracking in action - Solution Demo,https://www.youtube.com/watch?v=hKJqNNJqfaE
20,o8dXhDdGqAw,Multiprotocol Label Switching Fundamentals & Positioning,https://www.youtube.com/watch?v=o8dXhDdGqAw
21, -Guj7hjJvD4,Digital Age Networking Übersichtsvideo - DE,https://www.youtube.com/watch?v= -Guj7hjJvD4
22,0zBg5l38M88,The Autonomous Network,https://www.youtube.com/watch?v=0zBg5l38M88
23,1Rhe8TrB35M,Hybrid Cloud Architectures - AWS - ALE Network Technical Demo,https://www.youtube.com/watch?v=1Rhe8TrB35M
24,39W90TBEh5A,OmniAccess Stellar Wi-Fi Fine Tuning Guidelines,https://www.youtube.com/watch?v=39W90TBEh5A
25,4IyBlHXmzJk,"¿Qué puede hacer OmniVista Network Advisor, el sistema AIOps hacer por su red?",https://www.youtube.com/watch?v=4IyBlHXmzJk
26,6PZcGjMZwaY,Wi-Fi 6: Transportation,https://www.youtube.com/watch?v=6PZcGjMZwaY
27,9j0U5eJWnvo,What's New in Wi-Fi 6 Overview for Hospitality,https://www.youtube.com/watch?v=9j0U5eJWnvo
28,9v3WMw9QBeU,Programme ESMS – La transformation digitale dans le secteur de la santé,https://www.youtube.com/watch?v=9v3WMw9QBeU
29,AgSoXvaOcTg,Network Automation with Ansible and NAPALM,https://www.youtube.com/watch?v=AgSoXvaOcTg
30,B13PSjqP4c4,ALE Solution Overview for Transportation,https://www.youtube.com/watch?v=B13PSjqP4c4
31,BC9YFaI_De8,Healthcare and the Internet of Things on Larry Rose Live!,https://www.youtube.com/watch?v=BC9YFaI_De8
